City,lat,long,Max Temp °C,Humidity %,Cloudiness %,Wind Speed,Country,Date
bahia blanca,-38.7196,-62.2724,19.36,37,100,7.38,AR,1663386023
fernandez,-27.9204,-63.8935,20.91,20,100,8.22,AR,1663386024
pedasi,7.5333,-80.0333,25.04,82,100,3.51,PA,1663386024
arshan,46.2732,44.22,21.21,46,70,4.0,RU,1663386025
nizhniy tsasuchey,50.5167,115.1333,4.35,93,100,9.62,RU,1663386025
sehithwa,-20.4667,22.7167,15.55,22,0,2.81,BW,1663386026
oga,46.4631,10.347,8.38,95,100,4.57,IT,1663386026
maltahohe,-24.8333,16.9833,16.67,38,87,3.07,NA,1663386026
manokwari,-0.8667,134.0833,25.63,82,100,3.48,ID,1663386027
aloleng,16.1307,119.7824,28.99,66,56,4.92,PH,1663386027
tucuman,-26.8241,-65.2226,14.0,51,28,2.57,AR,1663386027
kamenka,51.3223,42.7678,13.68,93,76,3.43,RU,1663386028
isla vista,34.4133,-119.861,22.01,75,0,2.06,US,1663386028
araouane,18.9048,-3.5265,31.24,43,24,9.08,ML,1663386028
kirakira,-10.4544,161.9205,29.16,72,31,4.36,SB,1663386028
chalchihuites,23.4833,-103.8833,17.05,65,100,1.63,MX,1663386029
ulladulla,-35.35,150.4667,19.5,40,5,6.07,AU,1663385844
nandgaon,20.3167,74.65,25.09,79,92,5.29,IN,1663386029
vestmannaeyjar,63.4427,-20.2734,9.55,83,99,3.52,IS,1663386029
yatou,37.15,122.3833,24.03,70,2,3.72,CN,1663386029
lata,40.1629,-8.3327,19.9,93,99,0.86,PT,1663386030
waterloo,43.4668,-80.5164,15.33,97,0,1.54,CA,1663386030
galesong,-5.3166,119.3661,32.01,57,48,3.79,ID,1663386030
mapiripan,2.8892,-72.1256,21.7,97,76,1.95,CO,1663386030
eluru,16.7,81.1,29.05,70,95,5.31,IN,1663386030
necochea,-38.5473,-58.7368,13.26,73,100,6.81,AR,1663386031
kita,13.0349,-9.4895,21.4,94,99,1.24,ML,1663386031
bristol,41.8334,-71.1662,15.78,87,53,1.34,US,1663386031
stony point,41.2295,-73.9871,19.65,77,100,1.66,US,1663386031
suez,29.9737,32.5263,22.03,79,0,3.05,EG,1663386031
burnie,-41.0667,145.9167,10.51,93,100,9.06,AU,1663386032
dauphin,51.1494,-100.0502,11.08,97,100,1.54,CA,1663386032
kibre mengist,5.8833,38.9833,14.85,81,97,0.53,ET,1663386032
skjervoy,70.0311,20.9714,8.0,84,100,5.78,NO,1663386032
chegdomyn,51.1167,133.0167,18.68,69,89,1.12,RU,1663386033
pitsunda,43.1592,40.3378,20.1,59,79,2.85,GE,1663386033
moron,-34.6534,-58.6198,18.94,76,100,4.87,AR,1663386035
santa cruz,-17.8,-63.1667,20.7,56,20,3.09,BO,1663386035
tevriz,57.509,72.4042,11.95,54,7,2.34,RU,1663386035
pergine valsugana,46.065,11.238,14.79,78,100,4.47,IT,1663386036
ghansor,22.65,79.95,25.64,79,65,4.72,IN,1663386036
alappuzha,9.49,76.3264,27.78,76,86,1.76,IN,1663386036
kaeo,-35.1,173.7833,15.42,57,58,2.85,NZ,1663386036
anchorage,61.2181,-149.9003,12.18,82,100,2.57,US,1663386036
eucaliptus,-17.5833,-67.5167,7.55,58,19,1.34,BO,1663386037
makakilo city,21.3469,-158.0858,24.86,86,100,2.57,US,1663386037
lerwick,60.1545,-1.1494,9.0,71,100,8.98,GB,1663386037
shenjiamen,29.9576,122.298,26.03,77,5,6.65,CN,1663386037
porto murtinho,-21.6989,-57.8825,19.5,52,0,2.18,BR,1663386038
santa rosa,14.3122,121.1114,31.72,62,71,6.6,PH,1663385459
northam,51.0333,-4.2167,9.78,80,4,1.5,GB,1663386038
bilma,18.6853,12.9164,31.09,37,84,2.99,NE,1663386038
prescott,34.54,-112.4685,22.19,56,0,4.12,US,1663386039
ewo,-0.8725,14.8206,21.55,94,58,2.18,CG,1663386039
pangai,-19.8,-174.35,28.06,69,40,2.06,TO,1663386039
dickinson,29.4608,-95.0513,27.75,89,0,2.57,US,1663386040
nenjiang,49.1833,125.2167,16.64,62,99,5.17,CN,1663386040
ullapool,57.8987,-5.1604,10.75,90,100,3.06,GB,1663386040
north bend,43.4065,-124.2243,14.95,91,0,4.63,US,1663386040
shuangyang,43.5242,125.6736,18.87,82,100,4.36,CN,1663386041
koulikoro,14.0,-7.75,22.94,80,51,2.24,ML,1663386041
canchungo,12.0672,-16.0333,24.07,91,98,1.63,GW,1663386041
mocorito,25.4833,-107.9167,29.56,94,5,0.99,MX,1663386041
severnoye,56.3491,78.3619,11.94,62,97,1.32,RU,1663386042
windhoek,-22.5594,17.0832,17.28,34,0,3.6,NA,1663385483
omsk,55.0,73.4,11.61,46,0,1.0,RU,1663385933
kamogawa,35.1,140.1,28.3,64,100,4.57,JP,1663385754
virovitica,45.8319,17.3839,11.7,93,100,3.44,HR,1663385937
yako,12.9667,-2.2667,22.34,85,36,3.8,BF,1663386043
maniitsoq,65.4167,-52.9,8.04,83,100,3.06,GL,1663386043
sao gabriel da cachoeira,-0.1303,-67.0892,22.55,96,100,0.37,BR,1663386043
rio branco,-9.9747,-67.81,22.34,83,0,0.0,BR,1663386043
dicabisagan,17.0818,122.4157,29.39,74,100,2.16,PH,1663386044
bitung,1.4451,125.1824,31.47,68,100,2.77,ID,1663386044
shahr-e babak,30.1165,55.1186,23.69,18,1,1.3,IR,1663386044
lac du bonnet,50.2536,-96.0612,10.94,98,100,4.3,CA,1663386044
fallingbostel,52.8667,9.7,11.03,83,87,5.53,DE,1663386045
randfontein,-26.1844,27.702,14.69,33,0,4.07,ZA,1663386045
sorland,67.667,12.6934,11.92,79,100,3.47,NO,1663386045
horadiz,39.4488,47.3353,15.43,48,0,0.88,AZ,1663386045
luderitz,-26.6481,15.1594,15.08,78,68,5.96,NA,1663386045
iracoubo,5.4802,-53.2011,26.39,88,26,4.94,GF,1663386046
gelendzhik,44.5731,38.0747,21.32,90,81,2.16,RU,1663385825
portland,45.5234,-122.6762,18.65,75,75,2.57,US,1663386002
tiksi,71.6872,128.8694,2.53,97,100,3.56,RU,1663386046
nhulunbuy,-12.2333,136.7667,32.34,51,91,5.66,AU,1663386047
bushehr,28.9684,50.8385,30.05,48,0,6.17,IR,1663386047
taman,45.2117,36.7161,21.18,80,100,1.61,RU,1663386047
yulara,-25.2406,130.9889,23.4,16,0,3.17,AU,1663386047
komsomolskiy,40.4272,71.7189,20.4,37,43,3.09,UZ,1663386048
snasa,64.2457,12.3778,10.67,98,99,1.69,NO,1663386048
hirara,24.8,125.2833,29.92,79,75,9.26,JP,1663386048
katangli,51.7102,143.2326,13.53,69,98,4.33,RU,1663386049
kermanshah,34.3142,47.065,12.5,21,0,2.06,IR,1663386049
iquique,-20.2208,-70.1431,15.02,69,0,0.87,CL,1663386049
mahasamund,21.1,82.1,26.15,81,100,4.33,IN,1663386049
kavaratti,10.5669,72.642,27.19,78,26,4.3,IN,1663386050
alenquer,-1.9417,-54.7383,26.12,63,63,1.78,BR,1663386050
zhigalovo,54.8097,105.1578,11.11,44,29,3.23,RU,1663386051
suchil,23.6333,-103.9167,18.2,66,89,2.28,MX,1663386051
boyuibe,-20.4167,-63.2833,15.56,67,0,2.07,BO,1663386051
sandwick,60.0,-1.25,8.9,71,75,4.12,GB,1663386051
egvekinot,66.3167,-179.1667,4.08,88,100,8.64,RU,1663386051
jiayuguan,39.8167,98.3,21.24,25,0,4.21,CN,1663386033
price,39.5994,-110.8107,15.62,72,0,3.09,US,1663386052
plettenberg bay,-34.0527,23.3716,14.31,88,100,2.62,ZA,1663386052
san remigio,11.0809,123.9381,30.51,63,88,3.36,PH,1663386053
husavik,66.0449,-17.3389,5.75,92,100,2.67,IS,1663386053
vilhena,-12.7406,-60.1458,22.99,52,40,0.99,BR,1663386053
marawi,7.9986,124.2928,29.92,48,89,1.89,PH,1663386053
anadyr,64.75,177.4833,6.28,93,75,10.0,RU,1663386054
novomyrhorod,48.7811,31.642,13.74,83,100,1.8,UA,1663386054
port macquarie,-31.4333,152.9167,27.16,42,21,2.83,AU,1663385837
teguldet,57.3064,88.1667,12.09,64,54,0.9,RU,1663386054
gallup,35.5281,-108.7426,18.34,37,0,2.06,US,1663386054
mumbwa,-14.9783,27.0619,17.48,49,4,3.6,ZM,1663386054
saint-pierre,-21.3393,55.4781,21.82,60,0,4.63,RE,1663386055
liku,-0.7275,119.8922,30.66,61,100,0.72,ID,1663386055
goundi,9.3627,17.366,21.27,99,100,1.7,TD,1663386055
bambous virieux,-20.3428,57.7575,22.9,78,75,5.66,MU,1663386055
belyy yar,53.6039,91.3903,11.03,46,0,4.0,RU,1663386055
alta floresta,-9.8756,-56.0861,26.04,50,91,1.32,BR,1663386056
sakakah,29.9697,40.2064,26.76,24,0,3.76,SA,1663386056
havelock,34.8791,-76.9013,21.64,90,0,2.23,US,1663386056
canico,32.6333,-16.85,23.73,78,20,0.51,PT,1663386056
cap-aux-meules,47.3821,-61.8597,11.01,82,100,11.83,CA,1663386056
tambacounda,13.7539,-13.7586,23.03,94,40,4.12,SN,1663386057
mingguang,32.7802,117.9638,28.71,54,2,1.99,CN,1663386057
saint marys,30.7305,-81.5465,27.23,76,0,4.12,US,1663386057
mount gambier,-37.8333,140.7667,13.95,77,75,11.83,AU,1663386057
manakara,-22.1333,48.0167,19.8,89,95,2.68,MG,1663386058
cabatuan,10.8794,122.486,30.06,68,94,5.45,PH,1663386058
lisieux,49.1667,0.1667,12.85,77,9,2.7,FR,1663386058
svetlogorsk,52.6333,29.7333,7.55,89,21,3.33,BY,1663386058
tuensang,26.2833,94.8333,27.04,75,56,1.55,IN,1663386058
vestmanna,62.1564,-7.1664,8.51,81,75,4.12,FO,1663386059
bridlington,54.0831,-0.1919,8.27,71,83,10.2,GB,1663386059
bugarama,-2.8706,30.5281,17.27,74,73,0.51,TZ,1663386059
san jose de guanipa,8.8872,-64.1651,24.56,83,100,2.4,VE,1663386059
mandan,46.8267,-100.8896,14.45,91,100,2.57,US,1663386060
qaqortoq,60.7167,-46.0333,10.73,73,100,6.16,GL,1663386060
havre,49.5833,0.3333,12.87,54,75,5.14,FR,1663386060
labuan,5.2767,115.2417,29.2,79,20,0.51,MY,1663386060
alyangula,-13.8483,136.4192,29.08,60,20,3.41,AU,1663386060
mayo,38.8876,-76.5119,19.54,93,0,0.0,US,1663386061
chase,50.8165,-119.6857,12.49,95,97,1.66,CA,1663386061
slonim,53.0867,25.3219,8.77,81,27,4.71,BY,1663386061
ridgecrest,35.6225,-117.6709,27.92,27,0,4.63,US,1663386062
ust-tsilma,65.441,52.1498,9.53,81,98,2.91,RU,1663386062
mehamn,71.0357,27.8492,7.97,93,100,8.23,NO,1663386062
whitianga,-36.8333,175.7,15.9,55,53,3.42,NZ,1663386062
urdoma,61.7533,48.5442,9.57,95,100,3.17,RU,1663386063
taree,-31.9,152.4667,25.96,25,40,7.72,AU,1663386064
dauriya,49.9333,116.8667,8.41,85,98,8.55,RU,1663386064
tomatlan,19.9333,-105.25,25.09,94,100,0.91,MX,1663386064
atambua,-9.1061,124.8925,30.93,42,81,1.6,ID,1663386065
wetaskiwin,52.9668,-113.3687,13.89,68,13,2.34,CA,1663386065
boguchany,58.3814,97.4531,10.69,66,91,2.68,RU,1663386065
sorrento,40.626,14.3744,23.26,95,47,3.85,IT,1663386022
dakar,14.6937,-17.4441,28.07,89,40,2.06,SN,1663385782
sopelana,43.3789,-2.9831,18.49,76,40,1.03,ES,1663386066
nagato,34.3833,131.2,29.18,64,97,2.68,JP,1663386066
saint anthony,45.0205,-93.218,20.94,90,100,3.09,US,1663386066
baghmara,23.795,86.2085,29.8,67,91,1.81,IN,1663386067
san carlos de bariloche,-41.1456,-71.3082,3.47,90,100,2.06,AR,1663386067
shaoguan,24.8,113.5833,36.58,33,0,0.18,CN,1663385744
zelenoborskiy,66.845,32.3622,9.56,94,100,6.6,RU,1663386067
balingasay,16.3573,119.8564,29.19,65,28,5.41,PH,1663386067
naryan-mar,67.6713,53.087,9.93,88,99,3.76,RU,1663386067
odesskoye,54.2111,72.9651,13.1,43,1,5.09,RU,1663386068
san andres,12.5847,-81.7006,26.01,94,75,1.03,CO,1663386068
evensk,61.95,159.2333,9.43,40,79,7.29,RU,1663386068
gola bazar,26.3431,83.3553,27.86,83,100,3.49,IN,1663386068
senanga,-16.1167,23.2667,15.3,47,1,2.1,ZM,1663386068
aquiraz,-3.9014,-38.3911,26.21,82,12,4.23,BR,1663386069
russell,32.3502,-85.1999,22.57,94,0,0.0,US,1663386069
whitehorse,60.7161,-135.0538,10.01,57,20,2.57,CA,1663385965
zabol,32.25,67.25,21.54,16,0,2.91,AF,1663386070
pelotas,-31.7719,-52.3425,14.36,89,0,0.89,BR,1663386070
beloha,-25.1667,45.05,20.92,58,0,2.98,MG,1663386070
havoysund,70.9963,24.6622,8.13,91,100,11.92,NO,1663386070
marseille,43.3333,5.5,15.47,58,32,4.47,FR,1663385959
ushtobe,45.2514,77.9838,14.9,27,37,6.07,KZ,1663386071
galveston,29.3669,-94.9669,27.98,88,0,5.14,US,1663386071
